2025-10-21 16:55:41,130 - INFO - 開始資料更新流程...
2025-10-21 16:55:41,130 - INFO - 正在從 Google Sheets 獲取資料...
2025-10-21 16:55:41,913 - INFO - 成功獲取 194 筆資料
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '12', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F1222580892f14f7a03d73e7a.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ã\x80\x81é\x95·æ\x9c\x9fç\x85§é¡§ã\x80\x81é\x95·ç\x85§æ\x9c\x8då\x8b\x99ã\x80\x81å±\x85å®¶ç\x85§è\xad·ã\x80\x81é\x95·ç\x85§æ\x94¿ç\xad\x96ã\x80\x81é\x95·ç\x85§æ\x93\x9aé»\x9eã\x80\x81é«\x98é½¡å\x8f\x8bå\x96\x84ç¤¾å\x8d\x80', 'ä½¿ç\x94¨é\x99\x90å\x88¶': 'å\x8f¯ç\x9b´æ\x8e¥ä½¿ç\x94¨'}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '13', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fe028200b2beb45e09132783b.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '14', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F62e2d0e18b566654634c65e0.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '15', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F658c82c1aa2ca12a0641ae05.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '16', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F2ca465032663023cebb5158d.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '17', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'å±\x85å®¶é\x86«ç\x99\x82ç\x9a\x84è\x90½å¯¦', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F938b0b0a07d53ebca95b0c0a.jpeg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '18', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'é\xa0\x90é\x98²é\x86«å\xad¸è§\x80å¿µè\x88\x87å\x81¥åº·ä¿\x83é\x80²', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2F1bb7cb3f3a001ba096d109a6.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '19', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'é\xa0\x90é\x98²é\x86«å\xad¸è§\x80å¿µè\x88\x87å\x81¥åº·ä¿\x83é\x80²', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fb3c7fddde334b20d4e69accc.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '20', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'é\xa0\x90é\x98²é\x86«å\xad¸è§\x80å¿µè\x88\x87å\x81¥åº·ä¿\x83é\x80²', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Ff806fe52c5381d574d9addff.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
2025-10-21 16:55:41,915 - WARNING - 跳過不完整的資料行: {'ä¸»ç·¨è\x99\x9f': 'A', 'ç·¨è\x99\x9f': '21', 'ä¸»é¡\x8c': 'å\x81¥åº·ä¿\x83é\x80²', 'æ¬¡ä¸»é¡\x8cï¼\x88å\x9c\x96å\x90\x8dï¼\x89': 'é\xa0\x90é\x98²é\x86«å\xad¸è§\x80å¿µè\x88\x87å\x81¥åº·ä¿\x83é\x80²', 'url': 'https://image.fevercdn.com?bucket=picture-original.fevercdn.com&filepath=udn%2F2%2F203%2Fdaa407875401575c0036ed58.jpg', 'é\x97\x9cé\x8dµå\xad\x97ï¼\x88ã\x80\x81å\x8d\x80é\x9a\x94ï¼\x89': '', 'ä½¿ç\x94¨é\x99\x90å\x88¶': ''}
